geo,TIME_PERIOD,Gross_electricity_production,Final_consumption
Austria,2014,65438.872,62563.846
Austria,2015,65299.423,63553.966
Austria,2016,68308.186,64527.283
Austria,2017,71324.414,65569.868
Austria,2018,68617.889,65855.941
Austria,2019,74234.304,66027.933
Austria,2020,72558.156,63744.026
Austria,2021,70756.86,66871.97
Austria,2022,69228.392,66141.255
Austria,2023,74151.608,
Belgium,2014,72545.5,82633.5
Belgium,2015,69708.4,83056.6
Belgium,2016,85609.7,83581.2
Belgium,2017,86618.8,83745.1
Belgium,2018,75039.7,84441.4
Belgium,2019,93645.8,83518
Belgium,2020,89455.4,80538
Belgium,2021,100465.4,83068.7
Belgium,2022,95944.3,78129.3
Belgium,2023,82449,
Bulgaria,2014,47490,28887
Bulgaria,2015,49227,29625
Bulgaria,2016,45279,30313
Bulgaria,2017,45612.791,31399.565
Bulgaria,2018,46837.683,31333.86
Bulgaria,2019,44276.591,31696.47
Bulgaria,2020,40754.441,29824.516
Bulgaria,2021,47568.096,32088.802
Bulgaria,2022,50499.304,32027.821
Bulgaria,2023,39982.288,
Germany,2014,627806,524826
Germany,2015,648309,528350
Germany,2016,650449,530551
Germany,2017,653723,531318
Germany,2018,640468,521809
Germany,2019,606917,507543
Germany,2020,575462,492821
Germany,2021,592799.2,510100.5
Germany,2022,580266,489330.4
Germany,2023,520003,
Denmark,2014,32184.012,31569
Denmark,2015,28940.632,31749.542
Denmark,2016,30538.406,32043.793
Denmark,2017,31022.552,32296.851
Denmark,2018,30369.763,31881.94
Denmark,2019,29516.956,32174.488
Denmark,2020,28728.659,31414.093
Denmark,2021,33050.746,33618.44
Denmark,2022,35129.445,32263.947
Denmark,2023,33952.549,
Estonia,2014,12446,7417
Estonia,2015,10148.83,7440
Estonia,2016,12169.924,7824
Estonia,2017,13160.46,7735.492
Estonia,2018,12364.171,7985
Estonia,2019,7615.585,7786.94
Estonia,2020,6078.456,7540.06
Estonia,2021,7204.459,8134.585
Estonia,2022,8936.849,7307.76
Estonia,2023,5673,
Greece,2014,50474,51185
Greece,2015,51874,52445
Greece,2016,54438.584,55034
Greece,2017,55266.089,55614.427
Greece,2018,53262.785,51096.15
Greece,2019,48626.171,51735.304
Greece,2020,48251.884,48847.365
Greece,2021,54715.129,50554.438
Greece,2022,52670.055,49475.133
Greece,2023,47615.394,
Spain,2014,278749.282,233306
Spain,2015,280911.454,238545
Spain,2016,274771.767,239821
Spain,2017,275726,246542
Spain,2018,274452,245769
Spain,2019,273257,242165
Spain,2020,263373,227172
Spain,2021,274312,235025
Spain,2022,292454,231847
Spain,2023,285521,
Finland,2014,68094,80435
Finland,2015,68599,79686
Finland,2016,68757,82180
Finland,2017,67523,82275
Finland,2018,70263,84021
Finland,2019,68650,82640
Finland,2020,69267,78141
Finland,2021,72122,83301
Finland,2022,72220,78217
Finland,2023,81128,
France,2014,572587.214,433508.86
France,2015,579441.925,442992.841
France,2016,564056.083,451286.687
France,2017,561942.599,447460.2
France,2018,581685.076,445771.5
France,2019,570774.848,440450.427
France,2020,532255.126,420355.862
France,2021,555082.166,442322.442
France,2022,474744.443,425506.614
France,2023,527001.065,
Croatia,2014,13554,15180
Croatia,2015,11403,15734
Croatia,2016,12820,15715
Croatia,2017,11983.5,16425.1
Croatia,2018,13631.7,16625.2
Croatia,2019,12760.3,16572
Croatia,2020,13385.3,15578
Croatia,2021,15210.4,16854.4
Croatia,2022,14220.5,16569
Croatia,2023,17265.1,
Hungary,2014,29403,35899
Hungary,2015,30360,37439
Hungary,2016,31902,38262
Hungary,2017,32915,39647
Hungary,2018,32067,40587
Hungary,2019,34291,41383
Hungary,2020,34930,41191
Hungary,2021,36120.3,42805
Hungary,2022,35774.76,42413
Hungary,2023,35516,
Ireland,2014,26085.746,24990.811
Ireland,2015,28389.28,25914.467
Ireland,2016,30511.529,26493.066
Ireland,2017,30874.199,26755.24
Ireland,2018,31134.985,28013.461
Ireland,2019,30955.543,28567.295
Ireland,2020,32267.023,28791.283
Ireland,2021,31861.567,30123.632
Ireland,2022,33855.763,30852.147
Ireland,2023,31366.838,
Italy,2014,279827.343,291085
Italy,2015,282993.468,297180
Italy,2016,289767.96,295509
Italy,2017,295830.011,301880.515
Italy,2018,289708.433,303442.97
Italy,2019,293853.207,301803.565
Italy,2020,280531.014,283814.521
Italy,2021,289069.53,300887.061
Italy,2022,283961.322,295840.011
Italy,2023,264273.3,
Lithuania,2014,4397,10009
Lithuania,2015,4933,10165
Lithuania,2016,4266,10626
Lithuania,2017,4187.2,10957.5
Lithuania,2018,3511.1,11283.3
Lithuania,2019,3971.6,11409.3
Lithuania,2020,5517.5,11155
Lithuania,2021,5078.6,11953.6
Lithuania,2022,4783,11451.8
Lithuania,2023,5978.6,
Luxembourg,2014,2964.981,6182.009
Luxembourg,2015,2766.08,6223.728
Luxembourg,2016,2197.58,6366.481
Luxembourg,2017,2235.14,6393.275
Luxembourg,2018,2199.688,6458.711
Luxembourg,2019,1908.422,6396.95
Luxembourg,2020,2234.264,6119.506
