DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Austria,2014,2296.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Austria,2015,2527,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Austria,2016,2267.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Austria,2017,2524.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Austria,2018,2414.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Austria,2019,2239.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Austria,2020,2108.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Austria,2021,2273.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Austria,2022,2458.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Belgium,2014,1924.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Belgium,2015,2041.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Belgium,2016,1293.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Belgium,2017,1220.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Belgium,2018,1879.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Belgium,2019,1114.5,
