DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,1306.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,1405.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,193.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available from all sources,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,197.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available after transformation,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,9839.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available after transformation,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,9495.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available after transformation,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,4250.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Available after transformation,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,4535,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Distribution losses,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,310.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Distribution losses,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,288.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Distribution losses,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,223.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Distribution losses,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,215.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Exports,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,1983.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Exports,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,2053.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Exports,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,914.5,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Exports,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,1174.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,6995.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,6582.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,2662.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,2641.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,6995.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,6582.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,2662.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,2641.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - construction - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,84.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - construction - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,78.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - construction - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,20.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - construction - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,18.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - chemical and petrochemical - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,1266.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - chemical and petrochemical - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,1211.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - chemical and petrochemical - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,116,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - chemical and petrochemical - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,119.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,3287.5,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,3203.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,833.5,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,826.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - food, beverages and tobacco - energy use",Electricity,Thousand tonnes of oil equivalent,Belgium,2021,518.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - food, beverages and tobacco - energy use",Electricity,Thousand tonnes of oil equivalent,Belgium,2022,510.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - food, beverages and tobacco - energy use",Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,104.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - food, beverages and tobacco - energy use",Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,111.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - iron and steel - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,367.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - iron and steel - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,379.1,
