DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Austria,2014,62563.846,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Austria,2015,63553.966,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Austria,2016,64527.283,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Austria,2017,65569.869,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Austria,2018,65855.941,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Austria,2019,66027.932,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Austria,2020,63744.026,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Austria,2021,66871.97,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Austria,2022,66141.255,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Belgium,2014,82040.8,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Belgium,2015,83023.8,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Belgium,2016,83183.7,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Belgium,2017,83766.2,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Belgium,2018,84222.8,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Belgium,2019,83291.3,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Belgium,2020,80897.5,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Belgium,2021,83912.4,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Belgium,2022,79545.8,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Bulgaria,2014,28945.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Bulgaria,2015,29638.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Bulgaria,2016,30259.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Bulgaria,2017,31445.67,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Bulgaria,2018,31389.999,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Bulgaria,2019,31094.533,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Bulgaria,2020,30498.913,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Bulgaria,2021,31700.223,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Bulgaria,2022,31205.105,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Germany,2014,524827.0,
